CustomerID,Total_Revenue,Total_Orders,Customer_Segment
12346,77183.6,1,High Value Customer
12347,4310.0,7,Medium Value Customer
12348,1797.24,4,Low Value Customer
12349,1757.55,1,Low Value Customer
12350,334.4,1,Low Value Customer
12352,2506.04,8,Low Value Customer
12353,89.0,1,Low Value Customer
12354,1079.4,1,Low Value Customer
12355,459.4,1,Low Value Customer
12356,2811.43,3,Low Value Customer
12357,6207.67,1,Medium Value Customer
12358,1168.0600000000002,2,Low Value Customer
12359,6310.03,4,Medium Value Customer
12360,2662.06,3,Low Value Customer
12361,189.9,1,Low Value Customer
12362,5226.23,10,Medium Value Customer
12363,552.0,2,Low Value Customer
12364,1313.1,4,Low Value Customer
12365,641.38,2,Low Value Customer
12367,168.9,1,Low Value Customer
12370,3541.94,4,Medium Value Customer
12371,1887.96,2,Low Value Customer
12372,1298.04,3,Low Value Customer
12373,364.6,1,Low Value Customer
12374,742.9300000000001,1,Low Value Customer
12375,457.5,2,Low Value Customer
12377,1628.12,2,Low Value Customer
12378,4008.62,1,Medium Value Customer
12379,852.24,2,Low Value Customer
12380,2724.81,4,Low Value Customer
12381,1845.31,5,Low Value Customer
12383,1850.56,5,Low Value Customer
12384,585.27,2,Low Value Customer
12386,401.9,2,Low Value Customer
12388,2780.66,6,Low Value Customer
12390,549.84,1,Low Value Customer
12391,439.66,1,Low Value Customer
12393,1582.6000000000001,4,Low Value Customer
12394,1272.48,2,Low Value Customer
12395,3018.63,12,Medium Value Customer
12397,2409.9,2,Low Value Customer
12398,1635.6599999999999,1,Low Value Customer
12399,1108.65,4,Low Value Customer
12401,84.3,1,Low Value Customer
12402,225.6,1,Low Value Customer
12403,427.7,1,Low Value Customer
12405,1710.39,1,Low Value Customer
12406,3415.3,2,Medium Value Customer
12407,1708.1200000000001,5,Low Value Customer
12408,2888.55,5,Low Value Customer
12409,11072.67,3,High Value Customer
12410,693.3299999999999,2,Low Value Customer
12412,1226.88,3,Low Value Customer
12413,758.1,3,Low Value Customer
12414,562.41,3,Low Value Customer
12415,124914.53,21,High Value Customer
12417,3649.1,9,Medium Value Customer
12418,668.58,1,Low Value Customer
12420,600.39,1,Low Value Customer
12421,807.04,4,Low Value Customer
12422,803.5600000000001,3,Low Value Customer
12423,1859.31,8,Low Value Customer
12424,1760.96,2,Low Value Customer
12425,777.2,1,Low Value Customer
12426,582.73,1,Low Value Customer
12427,825.8,3,Low Value Customer
12428,7956.46,9,Medium Value Customer
12429,3750.4,4,Medium Value Customer
12430,256.4,1,Low Value Customer
12431,6419.95,15,Medium Value Customer
12432,5059.32,5,Medium Value Customer
12433,13375.87,7,High Value Customer
12434,806.14,2,Low Value Customer
12435,7829.89,2,Medium Value Customer
12436,509.01,1,Low Value Customer
12437,4951.41,18,Medium Value Customer
12438,2906.85,2,Low Value Customer
12441,173.55,1,Low Value Customer
12442,172.06,1,Low Value Customer
12444,5005.46,5,Medium Value Customer
12445,133.4,1,Low Value Customer
12446,1002.3100000000001,1,Low Value Customer
12447,476.49,1,Low Value Customer
12448,449.45,1,Low Value Customer
12449,4067.29,4,Medium Value Customer
12450,197.88,2,Low Value Customer
12451,9035.52,5,Medium Value Customer
12452,430.57,2,Low Value Customer
12453,707.09,1,Low Value Customer
12454,3528.34,1,Medium Value Customer
12455,2466.86,6,Low Value Customer
12456,3181.04,3,Medium Value Customer
12457,2363.23,7,Low Value Customer
12458,947.4,2,Low Value Customer
12461,826.88,2,Low Value Customer
12462,1189.59,2,Low Value Customer
12463,1344.78,4,Low Value Customer
12464,1212.05,8,Low Value Customer
12465,742.1899999999999,2,Low Value Customer
12468,729.5400000000001,2,Low Value Customer
12471,19788.649999999998,30,High Value Customer
12472,6572.11,7,Medium Value Customer
12473,3928.05,5,Medium Value Customer
12474,7324.09,18,Medium Value Customer
12475,723.38,1,Low Value Customer
12476,6816.42,11,Medium Value Customer
12477,13219.74,6,High Value Customer
12478,680.99,1,Low Value Customer
12479,527.2,1,Low Value Customer
12480,3281.63,4,Medium Value Customer
12481,5579.82,10,Medium Value Customer
12483,2484.98,8,Low Value Customer
12484,4527.32,6,Medium Value Customer
12488,1298.66,3,Low Value Customer
12489,334.93,1,Low Value Customer
12490,5417.93,10,Medium Value Customer
12491,460.40000000000003,1,Low Value Customer
12492,263.21000000000004,2,Low Value Customer
12493,433.74,2,Low Value Customer
12494,1246.1000000000001,7,Low Value Customer
12497,1043.1,1,Low Value Customer
12498,403.70000000000005,3,Low Value Customer
12500,4257.82,11,Medium Value Customer
12501,2169.39,1,Low Value Customer
12502,3723.87,5,Medium Value Customer
12504,482.04999999999995,2,Low Value Customer
12506,73.5,1,Low Value Customer
12507,1304.81,3,Low Value Customer
12508,397.88,2,Low Value Customer
12509,176.5,1,Low Value Customer
12510,982.5699999999999,2,Low Value Customer
12512,132.18,2,Low Value Customer
12513,612.29,1,Low Value Customer
12514,1017.68,1,Low Value Customer
12515,383.7,1,Low Value Customer
12516,1312.06,2,Low Value Customer
12517,2481.6,5,Low Value Customer
12518,2056.89,5,Low Value Customer
12519,330.84,1,Low Value Customer
12520,2634.26,5,Low Value Customer
12521,599.68,1,Low Value Customer
12522,192.72,2,Low Value Customer
12523,1789.77,11,Low Value Customer
12524,4485.72,8,Medium Value Customer
12526,1316.66,3,Low Value Customer
12527,348.71000000000004,3,Low Value Customer
12528,1933.48,6,Low Value Customer
12530,1662.28,4,Low Value Customer
12531,125.22,1,Low Value Customer
12532,349.83000000000004,1,Low Value Customer
12534,1089.18,1,Low Value Customer
12535,716.35,2,Low Value Customer
12536,12601.83,3,High Value Customer
12538,363.95,1,Low Value Customer
12539,5568.35,4,Medium Value Customer
12540,13400.24,17,High Value Customer
12541,981.18,3,Low Value Customer
12544,372.7,1,Low Value Customer
12545,1000.39,2,Low Value Customer
12546,1161.5,2,Low Value Customer
12547,207.79999999999998,2,Low Value Customer
12548,95.19999999999999,1,Low Value Customer
12550,964.83,1,Low Value Customer
12551,168.0,1,Low Value Customer
12552,437.82,2,Low Value Customer
12553,3692.28,10,Medium Value Customer
12556,599.56,2,Low Value Customer
12557,11990.960000000001,5,High Value Customer
12558,269.96,1,Low Value Customer
12559,561.71,2,Low Value Customer
12560,2134.01,3,Low Value Customer
12561,238.85,1,Low Value Customer
12562,3781.7400000000002,7,Medium Value Customer
12564,456.9,1,Low Value Customer
12565,145.92,1,Low Value Customer
12566,351.65,1,Low Value Customer
12567,9401.28,10,Medium Value Customer
12569,4124.69,32,Medium Value Customer
12571,519.61,2,Low Value Customer
12572,1020.42,2,Low Value Customer
12573,160.54000000000002,1,Low Value Customer
12574,218.45,1,Low Value Customer
12576,1315.83,5,Low Value Customer
12577,626.6,3,Low Value Customer
12578,2794.51,2,Low Value Customer
12579,440.42,1,Low Value Customer
12580,415.7,1,Low Value Customer
12581,197.71,1,Low Value Customer
12582,511.36,2,Low Value Customer
12583,7281.38,15,Medium Value Customer
12584,2338.15,9,Low Value Customer
12585,2040.1,2,Low Value Customer
12586,196.94000000000003,1,Low Value Customer
12587,144.0,1,Low Value Customer
12588,214.89999999999998,1,Low Value Customer
12589,646.68,2,Low Value Customer
12590,9864.26,2,Medium Value Customer
12591,452.84999999999997,1,Low Value Customer
12592,437.6,2,Low Value Customer
12593,418.09999999999997,3,Low Value Customer
12594,3338.2200000000003,10,Medium Value Customer
12596,618.27,2,Low Value Customer
12597,3811.22,4,Medium Value Customer
12598,3023.08,8,Medium Value Customer
12599,1032.58,7,Low Value Customer
12600,2599.04,10,Low Value Customer
12601,577.0600000000001,5,Low Value Customer
12602,153.12,1,Low Value Customer
12603,739.1999999999999,1,Low Value Customer
12604,254.18,2,Low Value Customer
12607,1579.51,1,Low Value Customer
12609,1126.85,3,Low Value Customer
12610,2099.54,5,Low Value Customer
12611,1193.32,1,Low Value Customer
12612,704.0400000000001,1,Low Value Customer
12613,3344.38,5,Medium Value Customer
12614,315.6,1,Low Value Customer
12615,2291.19,4,Low Value Customer
12616,713.3,2,Low Value Customer
12617,352.98,1,Low Value Customer
12618,177.31,1,Low Value Customer
12619,3641.24,9,Medium Value Customer
12620,1339.41,3,Low Value Customer
12621,13689.67,20,High Value Customer
12622,180.1,1,Low Value Customer
12623,305.1,1,Low Value Customer
12624,641.13,2,Low Value Customer
12625,2683.82,2,Low Value Customer
12626,6620.48,9,Medium Value Customer
12627,4478.53,7,Medium Value Customer
12628,786.46,3,Low Value Customer
12630,1270.88,2,Low Value Customer
12631,640.5,1,Low Value Customer
12633,2163.98,4,Low Value Customer
12635,1689.18,2,Low Value Customer
12637,6002.9,8,Medium Value Customer
12638,671.69,1,Low Value Customer
12639,486.1,1,Low Value Customer
12640,1174.58,3,Low Value Customer
12641,185.9,1,Low Value Customer
12642,1013.26,3,Low Value Customer
12643,3344.64,6,Medium Value Customer
12644,477.91,1,Low Value Customer
12645,1775.18,4,Low Value Customer
12646,1346.97,2,Low Value Customer
12647,3722.82,12,Medium Value Customer
12648,318.05,1,Low Value Customer
12649,623.51,3,Low Value Customer
12650,314.44,1,Low Value Customer
12651,114.0,1,Low Value Customer
12652,919.98,1,Low Value Customer
12653,2209.85,2,Low Value Customer
12654,601.98,5,Low Value Customer
12656,4051.17,5,Medium Value Customer
12657,1643.18,4,Low Value Customer
12658,686.05,1,Low Value Customer
12659,91.68,1,Low Value Customer
12660,245.1,1,Low Value Customer
12662,3849.78,11,Medium Value Customer
12664,4881.88,9,Medium Value Customer
12665,63.0,1,Low Value Customer
12667,620.13,1,Low Value Customer
12668,3807.15,4,Medium Value Customer
12669,2744.03,3,Low Value Customer
12670,2996.0499999999997,5,Low Value Customer
12672,225.89999999999998,1,Low Value Customer
12673,610.52,2,Low Value Customer
12674,1970.6,4,Low Value Customer
12676,1331.39,6,Low Value Customer
12678,17628.46,12,High Value Customer
12679,1113.02,4,Low Value Customer
12680,862.81,4,Low Value Customer
12681,13787.54,22,High Value Customer
12682,12279.82,31,High Value Customer
12683,8476.57,15,Medium Value Customer
12684,2283.63,7,Low Value Customer
12685,2863.08,6,Low Value Customer
12686,89.14,1,Low Value Customer
12688,4873.8099999999995,1,Medium Value Customer
12689,1247.61,2,Low Value Customer
12690,389.01,1,Low Value Customer
12691,1035.8,6,Low Value Customer
12693,855.91,4,Low Value Customer
12694,869.67,2,Low Value Customer
12695,582.1,4,Low Value Customer
12697,957.59,3,Low Value Customer
12700,4939.99,4,Medium Value Customer
12701,797.71,2,Low Value Customer
12702,219.0,1,Low Value Customer
12703,283.55,1,Low Value Customer
12704,2340.84,8,Low Value Customer
12705,6868.29,9,Medium Value Customer
12707,603.42,1,Low Value Customer
12708,2712.91,10,Low Value Customer
12709,9706.52,15,Medium Value Customer
12710,1149.02,3,Low Value Customer
12712,4396.13,13,Medium Value Customer
12713,848.55,1,Low Value Customer
12714,4708.86,5,Medium Value Customer
12715,343.36,1,Low Value Customer
12716,1053.49,2,Low Value Customer
12717,1030.98,2,Low Value Customer
12718,238.25,1,Low Value Customer
12719,644.95,2,Low Value Customer
12720,5781.73,25,Medium Value Customer
12721,2656.13,6,Low Value Customer
12722,997.63,4,Low Value Customer
12723,725.07,5,Low Value Customer
12724,1031.41,4,Low Value Customer
12725,427.8,1,Low Value Customer
12726,2609.1,7,Low Value Customer
12727,3980.7,7,Medium Value Customer
12728,836.3299999999999,4,Low Value Customer
12729,453.01,1,Low Value Customer
12731,18895.91,12,High Value Customer
12732,236.26000000000002,1,Low Value Customer
12733,383.95,1,Low Value Customer
12734,110.39999999999999,1,Low Value Customer
12735,779.5699999999999,2,Low Value Customer
12736,234.0,1,Low Value Customer
12738,155.35,1,Low Value Customer
12739,1013.04,2,Low Value Customer
12740,427.6,1,Low Value Customer
12743,540.13,2,Low Value Customer
12744,21279.29,7,High Value Customer
12747,4196.01,11,Medium Value Customer
12748,33053.19,209,High Value Customer
12749,4090.88,5,Medium Value Customer
12750,275.88,1,Low Value Customer
12752,4366.78,1,Medium Value Customer
12753,21429.39,6,High Value Customer
12754,3010.74,3,Medium Value Customer
12755,3811.95,2,Medium Value Customer
12756,112.07999999999998,1,Low Value Customer
12757,7834.650000000001,13,Medium Value Customer
12758,2791.59,2,Low Value Customer
12759,1531.44,3,Low Value Customer
12762,1898.52,2,Low Value Customer
12763,494.08,2,Low Value Customer
12764,1693.88,1,Low Value Customer
12766,6989.63,7,Medium Value Customer
12769,1143.6,1,Low Value Customer
12770,1351.45,1,Low Value Customer
12772,892.47,1,Low Value Customer
12775,1386.04,5,Low Value Customer
12778,822.23,6,Low Value Customer
12779,3981.36,8,Medium Value Customer
12781,826.74,2,Low Value Customer
12782,2330.92,5,Low Value Customer
12783,2225.91,6,Low Value Customer
12784,532.8199999999999,2,Low Value Customer
12785,311.95,1,Low Value Customer
12787,463.66,3,Low Value Customer
12789,91.85,1,Low Value Customer
12790,324.92,1,Low Value Customer
12791,192.60000000000002,1,Low Value Customer
12792,400.53999999999996,1,Low Value Customer
12793,545.48,2,Low Value Customer
12794,860.41,2,Low Value Customer
12795,430.48,1,Low Value Customer
12797,254.03,1,Low Value Customer
12798,6977.04,3,Medium Value Customer
12802,427.58,1,Low Value Customer
12808,483.65000000000003,3,Low Value Customer
12809,489.31,1,Low Value Customer
12811,514.85,3,Low Value Customer
12812,229.64000000000001,1,Low Value Customer
12814,125.92,1,Low Value Customer
12815,1063.46,2,Low Value Customer
12816,572.2,2,Low Value Customer
12817,166.04,1,Low Value Customer
12818,1542.08,1,Low Value Customer
12820,942.34,4,Low Value Customer
12821,92.72,1,Low Value Customer
12822,948.88,2,Low Value Customer
12823,1759.5,5,Low Value Customer
12824,397.12,1,Low Value Customer
12826,1474.72,7,Low Value Customer
12827,430.15000000000003,3,Low Value Customer
12828,1018.71,6,Low Value Customer
12829,293.0,2,Low Value Customer
12830,6814.64,6,Medium Value Customer
12831,215.05,1,Low Value Customer
12832,383.03,2,Low Value Customer
12833,417.38,1,Low Value Customer
12834,312.38,1,Low Value Customer
12836,2610.36,4,Low Value Customer
12837,134.1,1,Low Value Customer
12838,671.95,2,Low Value Customer
12839,5591.42,14,Medium Value Customer
12840,2726.77,4,Low Value Customer
12841,3991.58,25,Medium Value Customer
12842,1118.99,2,Low Value Customer
12843,1702.26,8,Low Value Customer
12844,325.96000000000004,2,Low Value Customer
12845,354.09,4,Low Value Customer
12847,843.64,1,Low Value Customer
12849,1010.29,2,Low Value Customer
12851,131.81,1,Low Value Customer
12852,311.55,1,Low Value Customer
12853,1957.1000000000001,6,Low Value Customer
12854,1316.25,3,Low Value Customer
12855,38.1,1,Low Value Customer
12856,2170.78,6,Low Value Customer
12857,1106.4,2,Low Value Customer
12863,521.2,1,Low Value Customer
12864,147.12,1,Low Value Customer
12865,1568.23,2,Low Value Customer
12866,559.12,1,Low Value Customer
12867,4009.34,7,Medium Value Customer
12868,1607.0600000000002,6,Low Value Customer
12871,380.64,2,Low Value Customer
12872,599.97,2,Low Value Customer
12873,374.0,1,Low Value Customer
12875,343.2300000000001,2,Low Value Customer
12876,2218.02,2,Low Value Customer
